hold,ticker,weight,abs_weight,is_active_holding
1,HPE,0.012117382213371827,0.012117382213371827,True
1,HPQ,0.0,0.0,False
1,HRL,0.0,0.0,False
1,HSIC,0.0,0.0,False
1,HST,0.0,0.0,False
1,HSY,0.0,0.0,False
1,HUM,0.0,0.0,False
1,IBM,0.0,0.0,False
1,ICE,0.027869423515613785,0.027869423515613785,True
1,IDXX,0.0,0.0,False
1,IEX,0.0,0.0,False
1,IFF,0.0,0.0,False
1,INCY,0.005132023838342509,0.005132023838342509,True
1,INTC,0.009288953381281198,0.009288953381281198,True
1,INTU,0.013924446794717165,0.013924446794717165,True
1,IP,0.0,0.0,False
1,IQV,0.0,0.0,False
1,IR,0.0,0.0,False
1,IRM,0.0,0.0,False
1,ISRG,0.015965195187584644,0.015965195187584644,True
1,IT,0.0,0.0,False
1,ITW,0.0,0.0,False
1,IVZ,0.0,0.0,False
1,J,0.0,0.0,False
1,JBHT,0.0,0.0,False
1,JCI,0.0,0.0,False
1,JKHY,0.0,0.0,False
1,JNJ,0.04137708690343025,0.04137708690343025,True
1,JPM,0.0,0.0,False
1,KEY,0.0,0.0,False
1,KEYS,0.0,0.0,False
1,KHC,0.0,0.0,False
1,KIM,0.0,0.0,False
1,KLAC,0.0,0.0,False
1,KMB,0.0,0.0,False
1,KMI,0.0,0.0,False
1,KO,0.0,0.0,False
1,KR,0.0,0.0,False
1,L,0.0,0.0,False
1,LDOS,0.0,0.0,False
1,LEN,0.0,0.0,False
1,LH,0.0,0.0,False
1,LHX,0.0,0.0,False
1,LIN,0.0,0.0,False
1,LLY,0.0,0.0,False
1,LMT,0.020144183734660096,0.020144183734660096,True
1,LNT,0.0,0.0,False
1,LOW,0.01299087905249687,0.01299087905249687,True
1,LRCX,0.0,0.0,False
1,LUV,0.0,0.0,False
1,LVS,0.0,0.0,False
1,LW,0.0,0.0,False
1,LYB,0.0,0.0,False
1,LYV,0.0,0.0,False
1,MA,0.0,0.0,False
1,MAA,0.0,0.0,False
1,MAR,0.0,0.0,False
1,MAS,0.0,0.0,False
1,MCD,0.0,0.0,False
1,MCHP,0.0,0.0,False
1,MCK,0.0,0.0,False
1,MCO,0.0,0.0,False
1,MDLZ,0.0,0.0,False
1,MDT,0.0,0.0,False
1,MET,0.02577628822304628,0.02577628822304628,True
1,MGM,0.0,0.0,False
1,MKC,0.0,0.0,False
1,MLM,0.0,0.0,False
1,MMC,0.0,0.0,False
1,MMM,0.0,0.0,False
1,MNST,0.009455072809138194,0.009455072809138194,True
1,MO,0.009304463128599585,0.009304463128599585,True
1,MOS,0.0,0.0,False
1,MPC,0.0,0.0,False
1,MRK,0.009576982667745329,0.009576982667745329,True
1,MS,0.0,0.0,False
1,MSCI,0.0,0.0,False
1,MSFT,0.057564735842142875,0.057564735842142875,True
1,MSI,0.0,0.0,False
1,MTB,0.0,0.0,False
1,MTD,0.0,0.0,False
1,MU,0.0,0.0,False
1,NCLH,0.0,0.0,False
1,NDAQ,0.0,0.0,False
1,NEE,0.0,0.0,False
1,NEM,0.0,0.0,False
1,NFLX,0.0,0.0,False
1,NI,0.0,0.0,False
1,NKE,0.0,0.0,False
1,NOC,0.0,0.0,False
1,NOW,0.0,0.0,False
1,NRG,0.0,0.0,False
1,NSC,0.0,0.0,False
1,NTAP,0.0,0.0,False
1,NTRS,0.0,0.0,False
1,NUE,0.0,0.0,False
1,NVDA,0.01256335988640741,0.01256335988640741,True
1,NVR,0.0,0.0,False
1,NWS,0.0,0.0,False
1,NWSA,0.0,0.0,False
1,O,0.0,0.0,False
1,ODFL,0.0,0.0,False
1,OKE,0.0,0.0,False
1,OMC,0.0,0.0,False
1,ORCL,0.0,0.0,False
1,ORLY,0.008562503732275507,0.008562503732275507,True
1,OXY,0.0,0.0,False
1,PAYX,0.0,0.0,False
1,PCAR,0.0,0.0,False
1,PEG,0.0,0.0,False
1,PEP,0.0,0.0,False
1,PFE,0.0,0.0,False
1,PFG,0.0,0.0,False
1,PG,0.02112486802957491,0.02112486802957491,True
1,PGR,0.0,0.0,False
1,PH,0.0,0.0,False
1,PHM,0.0,0.0,False
1,PKG,0.0,0.0,False
1,PLD,0.0,0.0,False
1,PM,0.0,0.0,False
1,PNC,0.009034595365183916,0.009034595365183916,True
1,PNR,0.0,0.0,False
1,PNW,0.0,0.0,False
1,PPG,0.0,0.0,False
1,PPL,0.009664262145766826,0.009664262145766826,True
1,PRU,0.0,0.0,False
1,PSA,0.0,0.0,False
1,PSX,0.0,0.0,False
1,PWR,0.012094093053162383,0.012094093053162383,True
1,PYPL,0.009739565216228974,0.009739565216228974,True
1,QCOM,0.0,0.0,False
1,RCL,0.0,0.0,False
1,REG,0.0,0.0,False
1,REGN,0.0,0.0,False
1,RF,0.0,0.0,False
1,RJF,0.0,0.0,False
1,RL,0.0,0.0,False
1,RMD,0.0,0.0,False
1,ROK,0.0,0.0,False
1,ROL,0.0,0.0,False
1,ROP,0.0,0.0,False
1,ROST,0.0,0.0,False
1,RSG,0.0,0.0,False
1,SBAC,0.0,0.0,False
1,SBUX,0.0,0.0,False
1,SCHW,0.0,0.0,False
1,SHW,0.0,0.0,False
1,SJM,0.0,0.0,False
1,SLB,0.0,0.0,False
1,SNA,0.0,0.0,False
1,SNPS,0.0,0.0,False
1,SO,0.0,0.0,False
1,SPG,0.0,0.0,False
1,SPGI,0.0,0.0,False
1,SRE,0.0,0.0,False
1,STE,0.0,0.0,False
1,STT,0.0,0.0,False
1,STX,0.0,0.0,False
1,STZ,0.0,0.0,False
