hold,rank_abs_weight,ticker,weight,abs_weight
1,1,AAPL,0.06656772235649458,0.06656772235649458
1,2,GOOG,0.0651853164594745,0.0651853164594745
1,3,BRK-B,0.06183107279596079,0.06183107279596079
1,4,MSFT,0.057564735842142875,0.057564735842142875
1,5,AMZN,0.04196297786007292,0.04196297786007292
1,6,JNJ,0.04137708690343025,0.04137708690343025
1,7,COST,0.03515973387145697,0.03515973387145697
1,8,ICE,0.027869423515613785,0.027869423515613785
1,9,MET,0.02577628822304628,0.02577628822304628
1,10,AVGO,0.02425095907054043,0.02425095907054043
1,11,PG,0.02112486802957491,0.02112486802957491
1,12,XOM,0.020553128412966908,0.020553128412966908
1,13,LMT,0.020144183734660096,0.020144183734660096
1,14,CMCSA,0.019639558943296477,0.019639558943296477
1,15,AJG,0.01855031340666589,0.01855031340666589
1,16,AMGN,0.018544364798396225,0.018544364798396225
1,17,AMT,0.017786276807016645,0.017786276807016645
1,18,DD,0.01698481972540769,0.01698481972540769
1,19,HLT,0.016066820969891347,0.016066820969891347
1,20,ISRG,0.015965195187584644,0.015965195187584644
1,21,FTV,0.01518985099693408,0.01518985099693408
1,22,ADBE,0.015135111881253308,0.015135111881253308
1,23,ZTS,0.014364725698242525,0.014364725698242525
1,24,DIS,0.014257671969800078,0.014257671969800078
1,25,INTU,0.013924446794717165,0.013924446794717165
1,26,CTSH,0.013587412805666058,0.013587412805666058
1,27,ARE,0.013559590434581381,0.013559590434581381
1,28,LOW,0.01299087905249687,0.01299087905249687
1,29,DE,0.012964169567432533,0.012964169567432533
1,30,GL,0.012899312713595155,0.012899312713595155
1,31,BAC,0.01289858498571136,0.01289858498571136
1,32,NVDA,0.01256335988640741,0.01256335988640741
1,33,GS,0.012335189174598036,0.012335189174598036
1,34,HPE,0.012117382213371827,0.012117382213371827
1,35,PWR,0.012094093053162383,0.012094093053162383
1,36,COO,0.01196520027541395,0.01196520027541395
1,37,ADP,0.011024025387242826,0.011024025387242826
1,38,T,0.01028992854598256,0.01028992854598256
1,39,PYPL,0.009739565216228974,0.009739565216228974
1,40,PPL,0.009664262145766826,0.009664262145766826
1,41,MRK,0.009576982667745329,0.009576982667745329
1,42,MNST,0.009455072809138194,0.009455072809138194
1,43,AMD,0.009447673211618919,0.009447673211618919
1,44,MO,0.009304463128599585,0.009304463128599585
1,45,TGT,0.009303587083831949,0.009303587083831949
1,46,INTC,0.009288953381281198,0.009288953381281198
1,47,ALB,0.009047915134031307,0.009047915134031307
1,48,PNC,0.009034595365183916,0.009034595365183916
1,49,CRM,0.009031379060727807,0.009031379060727807
1,50,UNH,0.008577969409881148,0.008577969409881148
2,1,AAPL,0.06656772235649458,0.06656772235649458
2,2,GOOG,0.0651853164594745,0.0651853164594745
2,3,BRK-B,0.06183107279596079,0.06183107279596079
2,4,MSFT,0.057564735842142875,0.057564735842142875
2,5,AMZN,0.04196297786007292,0.04196297786007292
2,6,JNJ,0.04137708690343025,0.04137708690343025
2,7,COST,0.03515973387145697,0.03515973387145697
2,8,ICE,0.027869423515613785,0.027869423515613785
2,9,MET,0.02577628822304628,0.02577628822304628
2,10,AVGO,0.02425095907054043,0.02425095907054043
2,11,PG,0.02112486802957491,0.02112486802957491
2,12,XOM,0.020553128412966908,0.020553128412966908
2,13,LMT,0.020144183734660096,0.020144183734660096
2,14,CMCSA,0.019639558943296477,0.019639558943296477
2,15,AJG,0.01855031340666589,0.01855031340666589
2,16,AMGN,0.018544364798396225,0.018544364798396225
2,17,AMT,0.017786276807016645,0.017786276807016645
2,18,DD,0.01698481972540769,0.01698481972540769
2,19,HLT,0.016066820969891347,0.016066820969891347
2,20,ISRG,0.015965195187584644,0.015965195187584644
2,21,FTV,0.01518985099693408,0.01518985099693408
2,22,ADBE,0.015135111881253308,0.015135111881253308
2,23,ZTS,0.014364725698242525,0.014364725698242525
2,24,DIS,0.014257671969800078,0.014257671969800078
2,25,INTU,0.013924446794717165,0.013924446794717165
2,26,CTSH,0.013587412805666058,0.013587412805666058
2,27,ARE,0.013559590434581381,0.013559590434581381
2,28,LOW,0.01299087905249687,0.01299087905249687
2,29,DE,0.012964169567432533,0.012964169567432533
2,30,GL,0.012899312713595155,0.012899312713595155
2,31,BAC,0.01289858498571136,0.01289858498571136
2,32,NVDA,0.01256335988640741,0.01256335988640741
2,33,GS,0.012335189174598036,0.012335189174598036
2,34,HPE,0.012117382213371827,0.012117382213371827
2,35,PWR,0.012094093053162383,0.012094093053162383
2,36,COO,0.01196520027541395,0.01196520027541395
2,37,ADP,0.011024025387242826,0.011024025387242826
2,38,T,0.01028992854598256,0.01028992854598256
2,39,PYPL,0.009739565216228974,0.009739565216228974
2,40,PPL,0.009664262145766826,0.009664262145766826
2,41,MRK,0.009576982667745329,0.009576982667745329
2,42,MNST,0.009455072809138194,0.009455072809138194
2,43,AMD,0.009447673211618919,0.009447673211618919
2,44,MO,0.009304463128599585,0.009304463128599585
2,45,TGT,0.009303587083831949,0.009303587083831949
2,46,INTC,0.009288953381281198,0.009288953381281198
2,47,ALB,0.009047915134031307,0.009047915134031307
2,48,PNC,0.009034595365183916,0.009034595365183916
2,49,CRM,0.009031379060727807,0.009031379060727807
2,50,UNH,0.008577969409881148,0.008577969409881148
3,1,AAPL,0.06656772235649458,0.06656772235649458
3,2,GOOG,0.0651853164594745,0.0651853164594745
3,3,BRK-B,0.06183107279596079,0.06183107279596079
3,4,MSFT,0.057564735842142875,0.057564735842142875
3,5,AMZN,0.04196297786007292,0.04196297786007292
