method,mean_te_bp,median_te_bp,max_te_bp,total_turnover_pct,mean_names
Proposed,20.556,19.409,36.074,5.0,55.0
ETE,17.2614248474353,17.0150088080581,23.9003056890971,492.289782821607,44.1875
MSE,17.264933069097196,17.583296739901087,23.4698560091364,663.4065000052146,45.0
TEV,17.374447273181282,16.691737332583298,22.4676676571007,679.9721244583197,45.0
NNEN,25.1476502617226,24.2704371057243,42.0766320961055,403.11758332215203,34.9375
NNL,31.3213955405833,30.253133357696,50.4562696500897,443.181480734614,34.5
