eps,pi_pos,S,mass_kept,mean_P_pos,min_P_pos,n_from_top50_MAP,selected_rule
0.001,0.6,59,0.5818670862126802,0.8310008691873099,0.6100974358974359,29,True
0.001,0.65,56,0.5628079566279973,0.8422911630036631,0.6522307692307693,28,False
0.001,0.7,45,0.4952504241464913,0.8826230199430197,0.7022589743589743,24,False
0.001,0.8,33,0.40185813881257,0.9254809634809634,0.804251282051282,19,False
0.0025,0.6,48,0.560354910429673,0.8127080128205129,0.6058923076923077,29,False
0.0025,0.65,43,0.5336691081696427,0.8355756708407872,0.6561948717948718,28,False
0.0025,0.7,35,0.45750849501729846,0.8738028571428572,0.7213487179487179,22,False
0.0025,0.8,25,0.38385624144989955,0.9219952820512822,0.8404461538461538,18,False
0.005,0.6,32,0.4825095676292889,0.8124235576923078,0.6141641025641026,26,False
0.005,0.65,26,0.424437786856142,0.8547307692307693,0.6633333333333333,22,False
0.005,0.7,24,0.4134617544642775,0.8693949786324785,0.7021512820512821,22,False
0.005,0.8,20,0.36654580386054036,0.8967678205128203,0.8065205128205128,18,False
0.01,0.6,12,0.31931907517861663,0.8005121794871793,0.609625641025641,12,False
0.01,0.65,10,0.2926200135952168,0.8376661538461538,0.7329974358974359,10,False
0.01,0.7,10,0.2926200135952168,0.8376661538461538,0.7329974358974359,10,False
0.01,0.8,4,0.1680650299428286,0.9395102564102564,0.856625641025641,4,False
