iteration,eta,theta,weighted_l1_S,data_budget_term,smoothed_logpost
0,4.867694654842964,130.02082823870268,0.0,131521.7638242659,-131521.7638242659
1,6.551079153208643,699.9991727161555,0.4510024787785778,39881.44828770278,-40196.15151958802
2,6.111297695131467,450.923496877929,0.6940520410137576,12659.001038165117,-12971.551223187864
3,6.2281951094783565,506.8398669786679,0.8277896970816547,4388.973721442835,-4808.007261973506
4,5.93302241671558,377.2931293334658,0.9020901059917017,1844.17791543121,-2184.2403465670436
5,6.131989605476827,460.35116733075716,0.9441246039471634,1046.6877774680574,-1480.8849523615895
6,5.897232718487419,364.0287028412537,0.9674351893189226,793.0355148147264,-1144.9397542679835
7,6.097593821835929,444.7862465071603,0.9766407122075109,732.9636929087209,-1166.9570589654415
8,5.909741602213227,368.6108948629169,0.9804108492695984,707.2951442782676,-1068.408488742978
9,6.072908864260457,433.9411232834503,0.9845016717888586,688.5225255192837,-1115.3547088062476
10,5.931973637102461,376.8976394183823,0.9830743730285421,683.839833252878,-1054.0688835128926
11,6.05205657651429,424.986148451425,0.9861099166278756,673.7776777542612,-1092.4928231036702
12,5.944762895328674,381.74883613380086,0.9876704498272056,670.536203466324,-1047.281390986309
13,6.039597757065323,419.72416984473335,0.987036865039786,664.9434604895168,-1078.867833383857
14,5.963813096397338,389.0909404593674,0.9844987424379412,661.7048519116245,-1044.4560076967555
15,6.021075776626541,412.02160060435534,0.9886853785301495,654.5556271033307,-1061.5695536038688
16,5.979086691049461,395.07937380246307,0.9855542570802699,648.5599281816338,-1037.6141354485485
17,6.015691306846595,409.80904481274155,0.9847560368123589,635.8696270175785,-1039.0894561620928
18,5.98754681230334,398.4359718024715,0.9837154765450298,629.2849942454998,-1020.9092490634968
19,6.018745425534438,411.0625634980083,0.9792476867420467,625.9193981962051,-1028.10726489949
20,5.992161429298677,400.2788500278019,0.9800174351654851,621.3889150884131,-1013.3427916498799
21,6.0116472244504084,408.1550898879615,0.9810501835013075,619.4131901555108,-1019.4944701269067
22,5.998947308388922,403.00433083949275,0.9795771050543565,617.0986548621725,-1011.5416355141892
23,6.006769311517611,406.16899283875455,0.9807728181951557,606.676970142339,-1004.7004265548039
24,6.001117992813976,403.88007620321946,0.9805423417629575,601.9948583825976,-997.6840996188876
25,6.004567179754729,405.27553931078114,0.9810435232733872,596.2986138710577,-993.5569822997721
26,6.007265803248277,406.3707024543865,0.9780755872031318,584.472036324065,-981.596914532629
27,6.006647108324143,406.11936072340507,0.9772861117918705,576.0673897079055,-972.6262314382559
28,5.997566544903722,402.4482611637899,0.982643052892152,576.0519198510922,-971.1849851057815
29,6.00669903731855,406.1404506410013,0.9812656615660786,568.1576599438883,-966.3533338015485
30,6.0037303947265315,404.93655265644986,0.9791755220848144,561.565758929389,-957.7357042004076
31,6.0064679464965804,406.0466061541449,0.9788388401612114,557.0533994582938,-954.1717396073451
32,6.007206833651292,406.34673964438184,0.9772981036306492,556.0207994381161,-952.8063519630703
33,6.011051168593549,407.9118791469208,0.9747937692452227,551.6130575837943,-948.904074214285
34,6.007915192145961,406.63468077992457,0.9750483837845788,549.4068213331516,-945.5584872282316
35,6.006316040857864,405.9849300696794,0.9772304708258941,545.5396570706195,-941.9447545797381
36,6.0093235636931706,407.2077769658962,0.9761205287665533,544.9067768128654,-942.0528749129467
37,6.013963839342155,409.10172411745594,0.9722315659613432,543.3923590377664,-940.7930471384686
38,6.01046020526518,407.6708894002039,0.9724570723053205,537.545033497971,-933.6489318725808
39,6.008749267784134,406.97398634438133,0.9748277946523674,526.9686618945614,-923.3608307537903
40,6.009021786157883,407.08490934688973,0.9753316155554332,523.966615373874,-920.6718290084686
41,6.010699635848028,407.76850996507125,0.9742332106119012,518.9053762108194,-915.8282975118503
42,6.014026497880129,409.1273586364742,0.9716172036486312,517.3531723323272,-914.5273879653544
43,6.016020926577411,409.9441482249309,0.9691734015247804,518.5624230379992,-915.5270603319162
44,6.015725499665455,409.8230575787446,0.9686004444406638,516.5705247536432,-913.1831953956664
45,6.011164611856187,407.95815662624454,0.9714373316752076,510.8155720031853,-906.7823366382847
